Key,Id,vi,en
"STATE_STARTING",3314955651,"Đang khởi động","Starting"
"STATE_STANDBY",3314955652,"Chờ","Standby"
"STATE_SPEAKING",3314955655,"Đang nói","Speaking"
"STATE_LISTENING",3314955654,"Đang lắng nghe","Listening"
"STATE_ERROR",3314955656,"Lỗi","Error"
"STATE_CONNECTING",3314955653,"Đang kết nối","Connecting"
"SettingsUI_WebSocketUrl",3314955664,"WebSocket URL","WebSocket URL"
"SettingsUI_WebSocketAccessToken",3314955665,"WebSocket Access Token","WebSocket Access Token"
"SettingsUI_Volume",3314955679,"Âm lượng","Volume"
"SettingsUI_Title",3314955658,"Cài đặt","Settings"
"SettingsUI_Theme",3314955681,"Chủ đề","Theme"
"SettingsUI_Tab_MIoT",7054277517205504,"MIoT","MIoT"
"SettingsUI_Tab_Common",7054207824650240,"Chung","Common"
"SettingsUI_Restart",3314955684,"Khởi động lại","Restart"
"SettingsUI_Placeholder",3314955662,"Vui lòng nhập {0}","Please enter {0}"
"SettingsUI_OTAUrl",3314955663,"OTA URL","OTA URL"
"SettingsUI_Modify_Tips",3314955659,"Thay đổi đã áp dụng. Sẽ có hiệu lực sau khi khởi động lại.","Changes applied successfully. Will take effect after restart."
"SettingsUI_Microphone",3314955678,"Micro","Microphone"
"SettingsUI_Lang",3314955683,"Ngôn ngữ","Language"
"SettingsUI_Keywords_Help",3314955677,"<u><i><link=""0"">Cách đặt từ khóa</link></i></u>","<u><i><link=""0"">How to set keywords</link></i></u>"
"SettingsUI_Keywords",3314955676,"Từ khóa","Keywords"
"SettingsUI_Invalid_Url_Tips",3314955660,"URL không hợp lệ. Vui lòng thử lại.","Invalid URL. Please try again."
"SettingsUI_Invalid_MacAddress_Tips",3314955661,"Địa chỉ MAC không hợp lệ. Vui lòng thử lại.","Invalid MAC address. Please try again."
"SettingsUI_Fill",3314955682,"Điền","Fill"
"SettingsUI_DisplayMode_VRM",3314955669,"VRM","VRM"
"SettingsUI_DisplayMode_Emoji",3314955668,"Emoji","Emoji"
"SettingsUI_DisplayMode",3314955667,"Chế độ hiển thị","Display Mode"
"SettingsUI_CustomMacAddress",3314955666,"Địa chỉ MAC","MAC Address"
"SettingsUI_Character",3314955670,"Nhân vật","Character"
"SettingsUI_BreakMode_VAD",3314955674,"Giọng nói","Voice"
"SettingsUI_BreakMode_None",3314955672,"Tắt","Off"
"SettingsUI_BreakMode_Keyword",3314955673,"Từ khóa","Keyword"
"SettingsUI_BreakMode_Free",3314955675,"Tự do","Free"
"SettingsUI_BreakMode",3314955671,"Chế độ ngắt","Break Mode"
"SettingsUI_AutoHide",3314955680,"Tự ẩn UI","Auto-hide UI"
"Permission_WriteStorage",3314955686,"Ghi tệp","File Write"
"Permission_Request_Failed",3314955690,"Yêu cầu quyền thất bại. Vui lòng thử khởi động lại ứng dụng.","Permission request failed. Please try restarting the application."
"Permission_ReadStorage",3314955685,"Đọc tệp","File Read"
"Permission_One_Request_Failed",3314955689,"Yêu cầu quyền {0} thất bại.","{0} permission request failed."
"Permission_Microphone",3314955688,"Micro","Microphone"
"Permission_Camera",3314955687,"Camera","Camera"
"MIoT_VerifyTips",7889234766553088,"Đăng nhập cục bộ cần xác minh điện thoại/email của bạn, <color=#FF6C37><u><link=""0"">bấm vào đây để lấy mã xác minh</link></u></color>","Local login requires verification of your phone/email, <color=#FF6C37><u><link=""0"">click here to get verification code</link></u></color>"
"MIoT_VerifyCode",7889102125883392,"Mã xác minh","Verification Code"
"MIoT_Verify",7889508973371392,"Xác minh","Verify"
"MIoT_ReturnToLogin",7895673413263360,"Quay lại đăng nhập","Return to Login"
"MIoT_RefreshSuccess",7957408966991872,"Làm mới thành công","Refresh Successful"
"MIoT_Room",7052731333173248,"Phòng","Room"
"MIoT_Refresh",7053541869838336,"Làm mới","Refresh"
